LINK_ID,time,speed
2340147000.0,800,26.714285714285715
2340147000.0,805,30.375
2340147000.0,815,29.875
2340147000.0,825,27.857142857142858
2340147000.0,835,30.714285714285715
2340147000.0,845,30.625
2340147000.0,855,28.25
2340147000.0,900,28.75
2340147000.0,905,28.75
2340147000.0,915,28.375
2340147000.0,925,30.875
2340147000.0,935,26.875
2340147000.0,945,29.6875
2340147000.0,955,27.125
2340215300.0,600,44.0625
2340215300.0,605,44.75
2340215300.0,615,43.1875
2340215300.0,625,45.375
2340215300.0,635,43.1625
2340215300.0,645,38.8375
2340215300.0,655,37.6875
2340215300.0,700,41.4375
2340215300.0,705,41.0625
2340215300.0,715,42.0
2340215300.0,725,40.625
2340215300.0,735,38.5
2340215300.0,745,40.0
2340215300.0,755,41.75
2340215300.0,800,41.857142857142854
2340215300.0,805,41.75
2340215300.0,815,39.65
2340215300.0,825,40.42857142857143
2340215300.0,835,36.857142857142854
2340215300.0,845,37.5
2340215300.0,855,39.5
2340215300.0,900,39.9625
2340215300.0,905,41.6
2340215300.0,915,40.875
2340215300.0,925,40.125
2340215300.0,935,40.25
2340215300.0,945,41.4375
2340215300.0,955,40.75
2340215400.0,600,44.0
2340215400.0,605,42.75
2340215400.0,615,43.0
2340215400.0,625,42.375
2340215400.0,635,41.625
2340215400.0,645,40.625
2340215400.0,655,42.8125
2340215400.0,700,42.375
2340215400.0,705,40.0
2340215400.0,715,39.875
2340215400.0,725,32.75
2340215400.0,735,27.125
2340215400.0,745,26.25
2340215400.0,755,20.75
2340215400.0,800,21.714285714285715
2340215400.0,805,20.0
2340215400.0,815,19.75
2340215400.0,825,22.571428571428573
2340215400.0,835,21.571428571428573
2340215400.0,845,30.375
2340215400.0,855,35.75
2340215400.0,900,36.0625
2340215400.0,905,38.5
2340215400.0,915,37.75
2340215400.0,925,37.875
2340215400.0,935,38.375
2340215400.0,945,38.0625
2340215400.0,955,38.875
2340216300.0,600,44.0
2340216300.0,605,43.75
2340216300.0,615,44.9
2340216300.0,625,42.5
2340216300.0,635,42.125
2340216300.0,645,40.625
2340216300.0,655,43.875
2340216300.0,700,42.875
2340216300.0,705,45.0
2340216300.0,715,44.9375
2340216300.0,725,42.875
2340216300.0,735,40.6875
2340216300.0,745,42.375
2340216300.0,755,41.125
2340216300.0,800,40.285714285714285
2340216300.0,805,35.625
2340216300.0,815,38.375
2340216300.0,825,39.142857142857146
2340216300.0,835,40.57142857142857
2340216300.0,845,39.375
2340216300.0,855,39.625
2340216300.0,900,38.8125
2340216300.0,905,39.625
2340216300.0,915,41.5625
2340216300.0,925,41.9375
2340216300.0,935,45.8125
2340216300.0,945,46.7875
2340216300.0,955,46.1625
2340216500.0,600,50.2125
2340216500.0,605,52.5625
2340216500.0,615,49.475
2340216500.0,625,51.8125
2340216500.0,635,51.5
2340216500.0,645,48.9125
2340216500.0,655,49.725
2340216500.0,700,48.125
2340216500.0,705,52.25
2340216500.0,715,51.25
2340216500.0,725,51.85
2340216500.0,735,47.625
2340216500.0,745,48.1875
2340216500.0,755,48.0625
2340216500.0,800,50.24285714285714
2340216500.0,805,49.2375
2340216500.0,815,51.1875
2340216500.0,825,47.042857142857144
2340216500.0,835,50.357142857142854
2340216500.0,845,52.125
2340216500.0,855,53.15
2340216500.0,900,55.025
2340216500.0,905,54.625
2340216500.0,915,52.125
2340216500.0,925,49.475
2340216500.0,935,48.95
2340216500.0,945,48.375
2340216500.0,955,49.0375
2340216600.0,600,38.6625
2340216600.0,605,37.375
2340216600.0,615,38.25
2340216600.0,625,35.375
2340216600.0,635,34.6875
2340216600.0,645,33.25
2340216600.0,655,34.625
2340216600.0,700,35.375
2340216600.0,705,32.0
2340216600.0,715,28.125
2340216600.0,725,25.5
2340216600.0,735,23.125
2340216600.0,745,19.375
2340216600.0,755,18.875
2340216600.0,800,23.142857142857142
2340216600.0,805,21.625
2340216600.0,815,24.75
2340216600.0,825,25.0
2340216600.0,835,28.285714285714285
2340216600.0,845,26.375
2340216600.0,855,30.0
2340216600.0,900,29.875
2340216600.0,905,30.5
2340216600.0,915,29.75
2340216600.0,925,28.0
2340216600.0,935,29.375
2340216600.0,945,30.625
2340216600.0,955,29.125
2340216700.0,600,41.275
2340216700.0,605,40.5125
2340216700.0,615,38.825
2340216700.0,625,39.3
2340216700.0,635,38.6
2340216700.0,645,39.2125
2340216700.0,655,37.9875
2340216700.0,700,39.6375
2340216700.0,705,38.45
2340216700.0,715,37.875
2340216700.0,725,40.4375
2340216700.0,735,40.3875
2340216700.0,745,37.7625
2340216700.0,755,41.2375
2340216700.0,800,40.57142857142857
2340216700.0,805,40.85
2340216700.0,815,40.7625
2340216700.0,825,41.65714285714286
2340216700.0,835,40.05714285714286
2340216700.0,845,39.9625
2340216700.0,855,40.125
2340216700.0,900,39.4625
2340216700.0,905,39.975
2340216700.0,915,41.375
2340216700.0,925,39.65
2340216700.0,935,38.7
2340216700.0,945,39.475
2340216700.0,955,39.725
2340216800.0,600,38.575
2340216800.0,605,37.775
2340216800.0,615,38.9375
2340216800.0,625,38.2875
2340216800.0,635,39.0625
2340216800.0,645,38.5
2340216800.0,655,40.125
2340216800.0,700,39.75
2340216800.0,705,39.75
2340216800.0,715,40.5
2340216800.0,725,40.375
2340216800.0,735,37.6875
2340216800.0,745,38.75
2340216800.0,755,37.5625
2340216800.0,800,40.714285714285715
2340216800.0,805,38.1875
2340216800.0,815,37.875
2340216800.0,825,38.0
2340216800.0,835,39.285714285714285
2340216800.0,845,39.9375
2340216800.0,855,38.375
2340216800.0,900,37.5625
2340216800.0,905,37.9375
2340216800.0,915,36.6875
2340216800.0,925,39.5
2340216800.0,935,38.0625
2340216800.0,945,37.5625
2340216800.0,955,39.375
2340217000.0,600,38.4
2340217000.0,605,36.4375
2340217000.0,615,36.3125
2340217000.0,625,37.9375
2340217000.0,635,36.6875
2340217000.0,645,37.1875
2340217000.0,655,36.75
2340217000.0,700,37.0375
2340217000.0,705,37.125
2340217000.0,715,35.35
2340217000.0,725,35.85
2340217000.0,735,34.125
2340217000.0,745,30.875
2340217000.0,755,27.75
2340217000.0,800,32.0
2340217000.0,805,30.8125
2340217000.0,815,29.8125
2340217000.0,825,33.17142857142857
2340217000.0,835,30.0
2340217000.0,845,32.9375
2340217000.0,855,35.5
2340217000.0,900,35.15
2340217000.0,905,34.85
2340217000.0,915,34.4125
2340217000.0,925,35.5875
2340217000.0,935,36.0875
2340217000.0,945,35.6875
2340217000.0,955,36.875
2340219900.0,600,22.125
2340219900.0,605,19.875
2340219900.0,615,24.8125
2340219900.0,625,24.5
2340219900.0,635,25.875
2340219900.0,645,26.0625
2340219900.0,655,23.0
2340219900.0,700,26.5
2340219900.0,705,26.375
2340219900.0,715,30.75
2340219900.0,725,33.0
2340219900.0,735,27.8125
2340219900.0,745,22.6875
2340219900.0,755,30.0
2340219900.0,800,29.0
2340219900.0,805,32.1625
2340219900.0,815,25.875
2340219900.0,825,22.714285714285715
2340219900.0,835,25.071428571428573
2340219900.0,845,27.4125
2340219900.0,855,34.0625
2340219900.0,900,34.0625
